Name,Attack Type,Frames,Is One Cut,Camera and Avatar Moving,Length in seconds,Source
Sword&Shield_JumpAttack1,diagno_lowright_2_upleft,25,one_cut,FALSE,0.416667,Animated
Sword&Shield_Attack3,vertical_up_2_down,69,one_cut,FALSE,1.15,Animated
Sword&Shield_Attack2,diagno_upleft_2_lowright,61,one_cut,FALSE,1.016667,Animated
Sword&Shield_Attack1,diagno_upright_2_lowleft,61,one_cut,FALSE,1.016667,Animated
Hammer_JumpAttack1,diagno_upright_2_lowleft,25,one_cut,FALSE,0.416667,Animated
Hammer_JumpAttack2,diagno_lowleft_2_upright,33,one_cut,FALSE,0.55,Animated
Hammer_JumpAttack3,vertical_up_2_down,39,one_cut,FALSE,0.65,Animated
Hammer_Attack3,diagno_upleft_2_lowright,81,one_cut,FALSE,1.35,Animated
Hammer_Attack2,diagno_lowright_2_upleft,71,one_cut,FALSE,1.183333,Animated
Hammer_Attack1,vertical_up_2_down,61,one_cut,FALSE,1.016667,Animated
DualBlades_JumpAttack2,diagno_upleft_2_lowright,31,one_cut,FALSE,0.516667,Animated
DualBlades_JumpAttack1,diagno_lowright_2_upleft,25,one_cut,FALSE,0.416667,Animated
DualBlades_Attack3,vertical_up_2_down,71,one_cut,FALSE,1.183333,Animated
DualBlades_Attack2,horizontal_left_2_right,73,one_cut,FALSE,1.216667,Animated
DualBlades_Attack1,horizontal_right_2_left,57,one_cut,FALSE,0.95,Animated
2Hand-Sword-Attack6,diagno_lowright_2_upleft,73,one_cut,FALSE,1.216667,Animated
2Hand-Sword-Attack5,diagno_upright_2_lowleft,73,one_cut,FALSE,1.216667,Animated
2Hand-Sword-Attack4,diagno_lowleft_2_upright,73,one_cut,FALSE,1.216667,Animated
2Hand-Sword-Attack3,diagno_lowright_2_upleft,73,one_cut,FALSE,1.216667,Animated
2Hand-Sword-Attack2,horizontal_right_2_left,73,one_cut,FALSE,1.216667,Animated
2Hand-Sword-Attack1,diagno_upright_2_lowleft,73,one_cut,FALSE,1.216667,Animated
combo_06_7,diagno_upleft_2_lowright,75,one_cut,FALSE,1.25,Animated
combo_06_6,diagno_lowright_2_upleft,71,one_cut,FALSE,1.183333,Animated
combo_06_5,diagno_lowleft_2_upright,87,one_cut,FALSE,1.45,Animated
combo_06_4,diagno_lowleft_2_upright,69,one_cut,FALSE,1.15,Animated
combo_06_3,diagno_upleft_2_lowright,55,one_cut,FALSE,0.916667,Animated
combo_06_2,thrust,69,one_cut,FALSE,1.15,Animated
combo_06_1,thrust,81,one_cut,FALSE,1.35,Animated
combo_05_1,thrust,69,one_cut,FALSE,1.15,Animated
combo_04_5,horizontal_left_2_right,103,one_cut,FALSE,1.716667,Animated
combo_04_4,vertical_up_2_down,95,one_cut,FALSE,1.583333,Animated
combo_04_3,diagno_upright_2_lowleft,91,one_cut,FALSE,1.516667,Animated
combo_04_2,horizontal_left_2_right,71,one_cut,FALSE,1.183333,Animated
combo_04_1,diagno_lowright_2_upleft,65,one_cut,FALSE,1.083333,Animated
combo_03_1,thrust,99,one_cut,FALSE,1.65,Animated
combo_02_4,horizontal_left_2_right,83,one_cut,FALSE,1.383333,Animated
combo_02_3,diagno_lowright_2_upleft,61,one_cut,FALSE,1.016667,Animated
combo_02_2,horizontal_left_2_right,101,one_cut,FALSE,1.683333,Animated
combo_02_1,horizontal_left_2_right,73,one_cut,FALSE,1.216667,Animated
combo_01_3,horizontal_left_2_right,89,one_cut,FALSE,1.483333,Animated
combo_01_2,diagno_upright_2_lowleft,89,one_cut,FALSE,1.483333,Animated
combo_01_1,diagno_lowleft_2_upright,73,one_cut,FALSE,1.216667,Animated
attack_05,diagno_lowleft_2_upright,91,one_cut,FALSE,1.516667,Animated
attack_04,diagno_upleft_2_lowright,113,one_cut,FALSE,1.883333,Animated
attack_03,diagno_upleft_2_lowright,97,one_cut,FALSE,1.616667,Animated
attack_02,horizontal_left_2_right,95,one_cut,FALSE,1.583333,Animated
attack_01,diagno_upleft_2_lowright,97,one_cut,FALSE,1.616667,Animated
